service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SCO,1,1,1,1,1,1,1,20190114,20191221
FER,1,1,1,1,1,1,1,20190114,20191231
FERI,1,1,1,1,1,1,1,20190114,20191231
FE10,1,1,1,1,1,1,1,20190114,20191231
FER2,1,1,1,1,1,1,1,20190701,20190831
GIO,1,1,1,1,1,1,1,20190114,20191231
GIO2,1,1,1,1,1,1,1,20190701,20190831
GIOE,1,1,1,1,1,1,1,20190616,20190915
FNSC,1,1,1,1,1,1,1,20190305,20191231
UNIV,1,1,1,1,1,1,1,20190114,20191221
FERE,1,1,1,1,1,1,1,20190617,20190914
SASC,1,1,1,1,1,1,1,20190119,20191221
SLMS,1,1,1,1,1,1,1,20190114,20191221
SLGS,1,1,1,1,1,1,1,20190114,20191221
SEMV,1,1,1,1,1,1,1,20190114,20191221
NOVA,1,1,1,1,1,1,1,20190909,20190918
GIOI,1,1,1,1,1,1,1,20190114,20191231
STA6,1,1,1,1,1,1,1,20190706,20190831
SABI,1,1,1,1,1,1,1,20190119,20191228
GIO4,1,1,1,1,1,1,1,20190601,20190930
GIO6,1,1,1,1,1,1,1,20190401,20190930
FER6,1,1,1,1,1,1,1,20190114,20191231
GIO8,1,1,1,1,1,1,1,20190114,20191231
SAFE,1,1,1,1,1,1,1,20190429,20190531
GISA,1,1,1,1,1,1,1,20190411,20190531
SAB,1,1,1,1,1,1,1,20190119,20191228
GNOL,1,1,1,1,1,1,1,20190115,20191231
SFES,1,1,1,1,1,1,1,20190119,20191229
GIFE,1,1,1,1,1,1,1,20190114,20191231
FNSI,1,1,1,1,1,1,1,20190305,20191231
LSSC,1,1,1,1,1,1,1,20190114,20191221
SGVS,1,1,1,1,1,1,1,20190117,20191221
SLVS,1,1,1,1,1,1,1,20190114,20191221
FERA,1,1,1,1,1,1,1,20190401,20191231
FERC,1,1,1,1,1,1,1,20190114,20191231
GIAM,1,1,1,1,1,1,1,20190401,20190531
SEMeV,1,1,1,1,1,1,1,20190114,20191221
FER8,1,1,1,1,1,1,1,20190114,20191231
FESI,1,1,1,1,1,1,1,20190120,20191229
FEST,1,1,1,1,1,1,1,20190120,20191229
FESE,1,1,1,1,1,1,1,20190616,20190915
FES2,1,1,1,1,1,1,1,20190707,20190825
SAFT,1,1,1,1,1,1,1,20190428,20190526
FES6,1,1,1,1,1,1,1,20190120,20191229
FES8,1,1,1,1,1,1,1,20190120,20191229
PSCO,1,1,1,1,1,1,1,20190114,20191220
PENT,1,1,1,1,1,1,1,20190114,20191231
SLMM,1,1,1,1,1,1,1,20190114,20191218
PNSC,1,1,1,1,1,1,1,20190305,20191231
LUN,1,1,1,1,1,1,1,20190114,20191230
PEN9,1,1,1,1,1,1,1,20190114,20191231
SCMV,1,1,1,1,1,1,1,20190115,20191220
SMGV,1,1,1,1,1,1,1,20190115,20191220
SELS,1,1,1,1,1,1,1,20190115,20191220
SMMV,1,1,1,1,1,1,1,20190115,20191220
SMMG,1,1,1,1,1,1,1,20190115,20191219
SCMA,1,1,1,1,1,1,1,20190115,20191217
SMeV,1,1,1,1,1,1,1,20190116,20191220
NOVB,1,1,1,1,1,1,1,20190919,20190919
VEN,1,1,1,1,1,1,1,20190118,20191227
SCVE,1,1,1,1,1,1,1,20190118,20191220
DNAT,1,1,1,1,1,1,1,20191215,20191222
