shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
MSS_1,8.5614505,40.7229392,1
MSS_1,8.5613536,40.7230481,2
MSS_1,8.561237,40.7230848,3
MSS_1,8.5610227,40.7231255,4
MSS_1,8.5607643,40.723115,5
MSS_1,8.5605568,40.7229926,6
MSS_1,8.560268,40.7227032,7
MSS_1,8.5590263,40.7215375,8
MSS_1,8.5578181,40.7203606,9
MSS_1,8.5554005,40.7180281,10
MSS_1,8.5553227,40.7179574,11
MSS_1,8.5552428,40.7178846,12
MSS_1,8.5550932,40.7177334,13
MSS_1,8.5547699,40.7174676,14
MSS_1,8.5546346,40.7174326,15
MSS_1,8.5545101,40.7174465,16
MSS_1,8.5542502,40.7174904,17
MSS_1,8.5534166,40.7180226,18
MSS_1,8.5530276,40.7181947,19
MSS_1,8.5528693,40.7182812,20
MSS_1,8.5527324,40.7184125,21
MSS_1,8.5526705,40.7185576,22
MSS_1,8.5527133,40.718721,23
MSS_1,8.55322,40.71968,24
MSS_1,8.553449,40.7204783,25
MSS_1,8.55388,40.7226,26
MSS_1,8.5544476,40.7246076,27
MSS_1,8.55562,40.72579,28
MSS_1,8.5551617,40.726329,29
MSS_1,8.554504,40.7267499,30
MSS_1,8.5539993,40.727079,31
MSS_1,8.5538972,40.727268,32
MSS_1,8.5538809,40.7274895,33
MSS_1,8.5548375,40.7288441,34
MSS_1,8.55474,40.73041,35
MSS_1,8.55536,40.73145,36
MSS_1,8.55571,40.73213,37
MSS_1,8.55594,40.73288,38
MSS_1,8.55588,40.73364,39
MSS_1,8.55562,40.73443,40
MSS_1,8.55487,40.7359,41
MSS_1,8.55438,40.73662,42
MSS_1,8.5535699,40.7375163,43
MSS_1,8.5524219,40.7386076,44
MSS_1,8.5514914,40.7391199,45
MSS_1,8.5503249,40.7394737,46
MSS_1,8.548404,40.739958,47
MSS_1,8.547535,40.740527,48
MSS_1,8.5453588,40.7420922,49
MSS_2,8.5453588,40.7420922,1
MSS_2,8.547535,40.740527,2
MSS_2,8.548404,40.739958,3
MSS_2,8.5503249,40.7394737,4
MSS_2,8.5514914,40.7391199,5
MSS_2,8.5524219,40.7386076,6
MSS_2,8.5535699,40.7375163,7
MSS_2,8.55438,40.73662,8
MSS_2,8.55487,40.7359,9
MSS_2,8.55562,40.73443,10
MSS_2,8.55588,40.73364,11
MSS_2,8.55594,40.73288,12
MSS_2,8.55571,40.73213,13
MSS_2,8.55536,40.73145,14
MSS_2,8.55474,40.73041,15
MSS_2,8.5548375,40.7288441,16
MSS_2,8.5538809,40.7274895,17
MSS_2,8.5538972,40.727268,18
MSS_2,8.5539993,40.727079,19
MSS_2,8.554504,40.7267499,20
MSS_2,8.5551617,40.726329,21
MSS_2,8.55562,40.72579,22
MSS_2,8.5544476,40.7246076,23
MSS_2,8.55388,40.7226,24
MSS_2,8.553449,40.7204783,25
MSS_2,8.55322,40.71968,26
MSS_2,8.5527133,40.718721,27
MSS_2,8.5526705,40.7185576,28
MSS_2,8.5527324,40.7184125,29
MSS_2,8.5528693,40.7182812,30
MSS_2,8.5530276,40.7181947,31
MSS_2,8.5534166,40.7180226,32
MSS_2,8.5542502,40.7174904,33
MSS_2,8.5545101,40.7174465,34
MSS_2,8.5546346,40.7174326,35
MSS_2,8.5547699,40.7174676,36
MSS_2,8.5550932,40.7177334,37
MSS_2,8.5552428,40.7178846,38
MSS_2,8.5553227,40.7179574,39
MSS_2,8.5554005,40.7180281,40
MSS_2,8.5578181,40.7203606,41
MSS_2,8.5590263,40.7215375,42
MSS_2,8.560268,40.7227032,43
MSS_2,8.5605568,40.7229926,44
MSS_2,8.5607643,40.723115,45
MSS_2,8.5610227,40.7231255,46
MSS_2,8.561237,40.7230848,47
MSS_2,8.5613536,40.7230481,48
MSS_2,8.5614505,40.7229392,49
