stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
B_1067,1067,ARMUNGIA,,39.52237,9.381247,1,
B_11122,11122,ARMUNGIA VIA EMILIO LUSSU 26,,39.52070,9.377318,1,
B_1014,1014,ASSEMINI VIA CARMINE,,39.2860,9.006772,2,
B_10317,10317,ASSEMINI VIA CAGLIARI-CHIESA,,39.29416,8.990266,2,
B_1448,1448,MACCHIAREDDU CONTIVECCHI,,39.22413,9.02434,30,
B_1439,1439,MACCHIAREDDU DORS_CONS MURGIA EST,,39.2561,8.970202,30,
B_1440,1440,MACCHIAREDDU FRONTE ELSA,,39.24800,8.991529,30,
B_1441,1441,MACCHIAREDDU SAVINIL,,39.24403,8.992456,30,
B_1442,1442,MACCHIAREDDU FRONTE BRIDGESTONE,,39.24076,8.985481,30,
B_1443,1443,MACCHIAREDDU DI.CO.VI.SA,,39.23954,8.980869,30,
B_1444,1444,MACCHIAREDDU SARMAPLAST,,39.23501,8.980511,30,
B_1445,1445,MACCHIAREDDU  NIVEA,,39.23071,8.983594,30,
B_1446,1446,MACCHIAREDDU  FLUORSID-PUSCEDDU,,39.23239,8.994752,30,
B_1447,1447,MACCHIAREDDU ENICHEM,,39.23311,9.011807,30,
B_1062,1062,BALLAO,,39.54932,9.362179,3,
B_2023,2023,BALLAO VIA CAGLIARI 54,,39.54792,9.359169,3,
B_1616,1616,BARRALI,,39.47743,9.101131,4,
B_10702,10702,BARRALI VIA DONORI,,39.472897,9.1037752,4,
B_10703,10703,BARRALI MUNICIPIO,,39.47564,9.102385,4,
B_1056,1056,BURCEI,,39.34664,9.361548,5,
B_10164,10164,BURCEI VIA ROMA Q8,,39.33758,9.362186,5,
B_10166,10166,BURCEI VIA ROMA 135,,39.34184,9.360479,5,
B_10167,10167,BURCEI VIA ROMA 83,,39.34394,9.360397,5,
B_10165,10165,BURCEI VIA ROMA FR. 184,,39.33934,9.361534,5,
B_1000,1000,CAGLIARI AUTOSTAZIONE ARST,,39.21460,9.108746,6,
B_1001,1001,CAGLIARI VIALE MONASTIR 23,,39.23552,9.097006,6,
B_1002,1002,CAGLIARI VIA IS MAGLIAS-MEUCCI,,39.22802,9.108963,6,
B_1046,1046,CAGLIARI BUON PASTORE,,39.22196,9.126342,6,
B_1132,1132,CAGLIARI PIAZZA GIOVANNI XXIII,,39.227278,9.1263171,6,
B_1164,1164,CAGLIARI V.LE COLOMBO-ALBERTI,,39.20939,9.118478,6,
B_1165,1165,CAGLIARI PIAZZA CENTOMILA BONARIA,,39.20747,9.124397,6,
B_1166,1166,CAGLIARI VIA CASTIGLIONE,,39.22883,9.128324,6,
B_1168,1168,CAGLIARI CONSERVATORIO,,39.22487,9.121134,6,
B_1171,1171,CAGLIARI VIALE MERELLO,,39.22342,9.108621,6,
B_1172,1172,CAGLIARI  VIA IS MAGLIAS - AZUNI,,39.23154,9.104659,6,
B_1173,1173,CAGLIARI VIA CORNALIAS-QUIRRA,,39.24033,9.107528,6,
B_1174,1174,CAGLIARI VIA CORNALIAS-SULCIS,,39.24250,9.105602,6,
B_1175,1175,CAGLIARI VIA PIERO DELLA FRANCESCA,,39.25068,9.103111,6,
B_1222,1222,CAGLIARI VIALE BONARIA RAI,,39.21012,9.122337,6,
B_1223,1223,CAGLIARI VIALE LA PLAIA-OVIESSE,,39.21493,9.104483,6,
B_1227,1227,CAGLIARI VIA RIVA DI PONENTE,,39.2141,9.10408,6,
B_1246,1246,SS131 BV. VIA GHERARDO DELLE NOTTI - TRANSITO,,39.25410,9.091642,6,
B_1256,1256,CAGLIARI V.LE TRIESTE-EE.LL.,,39.2250,9.101034,6,
B_1257,1257,CAGLIARI V.LE SANT'AVENDRACE 252,,39.23250,9.097639,6,
B_1268,1268,CAGLIARI PIAZZA REPUBBLICA,,39.2160,9.124823,6,
B_1347,1347,CAGLIARI VIA ROMA F.S.,,39.216077,9.1088172,6,
B_1454,1454,CAGLIARI PIAZZA SAN MICHELE,,39.2382,9.099735,6,
B_1458,1458,CAGLIARI PIAZZA SAN MICHELE,,39.23744,9.100457,6,
B_1620,1620,CAGLIARI VIA IS MIRRIONIS,,39.23705,9.105953,6,
B_1621,1621,CAGLIARI PIAZZA REPUBBLICA,,39.21716,9.124944,6,
B_1622,1622,CAGLIARI PIAZZA DEFFENU,,39.21094,9.11584,6,
B_1624,1624,CAGLIARI VIA SONNINO LEG. CC,,39.21557,9.1204,6,
B_1626,1626,CAGLIARI VIA BACAREDDA-MERCATO,,39.22332,9.121676,6,
B_1627,1627,CAGLIARI VIALE CIUSA,,39.2295,9.120007,6,
B_1637,1637,CAGLIARI PIAZZA MATTEOTTI  - ESTERNO,,39.2149,9.109151,6,
B_1693,1693,CAGLIARI VIALE MARCONI,,39.23571,9.140202,6,
B_1722,1722,CAGLIARI PORTO,,39.21427,9.110459,6,
B_8283,8283,CAGLIARI MOTEL AGIP,,39.2407,9.119,6,
