route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
101,SCO,1,VILLAPUTZU RIONE SANTA MARIA,1,,,,1
101,FER,2,SAN VITO CABINA ENEL,1,,,,1
101,FERI,3,VILLASIMIUS VIA ROMA - LA LANTERNA,1,,,,1
101,FER,4,SAN VITO CABINA ENEL,1,,,,1
101,FERI,5,VILLASIMIUS VIA ROMA - LA LANTERNA,1,,,,1
101,FERI,6,SAN VITO CABINA ENEL,1,,,,1
101,FER,7,SAN VITO CABINA ENEL,1,,,,1
101,FESI,8,COSTA REI MONTE NAI,1,,,,1
101,FESI,9,COSTA REI MONTE NAI,1,,,,1
101,FER,45,CAGLIARI AUTOSTAZIONE ARST,0,,,,1
101,FERI,46,CAGLIARI AUTOSTAZIONE ARST,0,,,,1
101,FER,47,CAGLIARI AUTOSTAZIONE ARST,0,,,,1
101,SCO,48,VILLASIMIUS VIA ROMA - LA LANTERNA,0,,,,1
101,FER,49,CAGLIARI AUTOSTAZIONE ARST,0,,,,1
101,FERI,50,CAGLIARI AUTOSTAZIONE ARST,0,,,,1
101,FER,51,CAGLIARI AUTOSTAZIONE ARST,0,,,,1
101,FESI,52,CAGLIARI AUTOSTAZIONE ARST,0,,,,1
101,FESI,53,CAGLIARI AUTOSTAZIONE ARST,0,,,,1
101,SCMV,67,VILLASIMIUS VIA ROMA - LA LANTERNA,0,,,,1
102,FE10,91,MURAVERA ISTITUTO AGRARIO,1,,,,1
102,SCO,92,MURAVERA VIA ROMA 8 - LICEO,1,,,,1
102,SCO,93,VILLAPUTZU RIONE SANTA MARIA,1,,,,1
102,FER2,94,MURAVERA VIA ROMA 42,1,,,,1
102,SCO,95,MURAVERA VIA ROMA 42,1,,,,1
102,FER2,96,COLOSTRAI,1,,,,1
102,FE10,127,SAN VITO CABINA ENEL,0,,,,1
102,FER,128,BALLAO,0,,,,1
102,FE10,129,ESCALAPLANO VIA SAVOIA 190,0,,,,1
102,SCO,130,ESCALAPLANO VIA SAVOIA 190,0,,,,1
