stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
B_8012,8012,BUGGERRU VIA ROMA 44,,39.39,8.4005,95,
B_80550,80550,BUGGERRU VIA DIAZ BAR INFO TUR,,39.396,8.403467,95,
B_80551,80551,BUGGERRU VIA DIAZ RIFORNITORE Q8,,39.39973,8.40235,95,
B_80552,80552,BUGGERRU VIA ROMA 136 BAR AQUILA,,39.396209999999996,8.401383000000001,95,
B_80549,80549,BUGGERRU VIA DIAZ-MALFIDANO CAVALCAVIA,,39.39198,8.405267,95,
B_80665,80665,SP 83 SAN NICOLO',,39.416,8.411133,95,
B_80662,80662,SP 83 CASERMA FORESTALE,,39.43373,8.413617,95,
B_80663,80663,SP 83 CASERMETTE,,39.44266,8.43115,95,
B_80664,80664,SP 83 PILLONI CAMPING,,39.441559999999996,8.42495,95,
B_80682,80682,SS 126 CANDIAZZUS,,39.39931,8.472467,121,
B_80681,80681,SS 126 BIVIO ANTAS,,39.388000000000005,8.480583,121,
B_80683,80683,SS 126 GENNA BOGAI,,39.37373,8.497217,121,
B_1516,1516,FLUMINIMAGGIORE,,39.43569,8.499122999999999,103,
B_8353,8353,FLUMINIMAGGIORE CAMPO SPORTIVO,,39.44077,8.496561999999999,103,
B_21066,21066,FLUMINIMAGGIORE VIA V.EMANUELE 458,,39.43953,8.493424000000001,103,
B_80582,80582,FLUMINIMAGGIORE VIA V.EMANUELE 301,,39.43821,8.495716999999999,103,
B_80583,80583,FLUMINIMAGGIORE VIA V.EMANUELE 4,,39.432809999999996,8.500967,103,
B_80585,80585,FLUMINIMAGGIORE VIA V.EMANUELE 538,,39.442209999999996,8.490133,103,
B_8062,8062,PORTIXEDDU,,39.4417,8.411617,95,
B_8072,8072,SANT'ANGELO,,39.37903,8.49355,121,
B_8027,8027,FUNTANAMARE,,39.28796,8.440017,105,
B_80659,80659,SP 83 KM 0.200,,39.278659999999995,8.465833,105,
B_80660,80660,SP 83 KM 1.400,,39.28201,8.455653,105,
B_8010,8010,BINDUA,,39.29335,8.492163,94,
B_8453,8453,BINDUA SCUOLE,,39.29333,8.4911,94,
B_8066,8066,SS 126 OSPEDALE CROBU-FORESTAS,,39.3275,8.531789999999999,106,
B_8123,8123,MASUA IMPIANTI,,39.33145,8.430408,110,
B_8091,8091,IGLESIAS PIAZZA SELLA PLAISANT,,39.3129,8.536204,106,
B_8117,8117,IGLESIAS VIA MADDALENA,,39.31224,8.545475,106,
B_8124,8124,IGLESIAS STAZIONE FS,,39.31,8.540017,106,
B_8154,8154,IGLESIAS PIAZZA MERCATO,,39.31131,8.534867,106,
B_8159,8159,IGLESIAS VIA CAPPUCCINI CONSORZIO,,39.30755,8.547818,106,
B_8160,8160,IGLESIAS VIA CAPPUCCINI CIMITERO,,39.310109999999995,8.544516999999999,106,
B_8161,8161,IGLESIAS VIA DELLA REGIONE EX SIP,,39.31288,8.54365,106,
B_8162,8162,IGLESIAS PIAZZA SELLA VILLA TORNU`,,39.312909999999995,8.537,106,
B_8163,8163,IGLESIAS VIA ROMA OVIESSE,,39.31151,8.533417,106,
B_8000,8000,IGLESIAS C.T.O.,,39.310829999999996,8.524967,106,
B_8166,8166,IGLESIAS VIA VIVALDI CONSORZIO,,39.30666,8.5205,106,
B_8168,8168,IGLESIAS PIAZZA CAVALLERA CROCIFISSO,,39.308659999999996,8.54073,106,
B_8170,8170,IGLESIAS VIALE COLOMBO 30 CABINA ENEL,,39.30616,8.5449,106,
B_8171,8171,IGLESIAS VIALE COLOMBO SERRAU,,39.30386,8.549785,106,
B_8172,8172,IGLESIAS VIALE COLOMBO CASA SERENA,,39.30206,8.556533,106,
B_8177,8177,IGLESIAS VIA ROMA EX SIP,,39.312,8.53085,106,
B_8178,8178,IGLESIAS CUORE IMMACOLATO,,39.310159999999996,8.534167,106,
B_8329,8329,IGLESIAS VIA S.SALVATORE 79,,39.306999999999995,8.5473,106,
B_8474,8474,IGLESIAS CAVALCAFERROVIA,,39.30475,8.549567999999999,106,
B_8570,8570,IGLESIAS VIA CATTANEO CONAD,,39.30883,8.523,106,
