,trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
18105,4896,07:28:00,07:28:00,B_21066,13,0,0
18106,4896,07:30:00,07:30:00,B_1516,14,1,0
18277,4909,15:08:00,15:08:00,B_21066,13,0,0
18278,4909,15:10:00,15:10:00,B_1516,14,1,0
18622,5075,07:35:00,07:35:00,B_1516,1,0,1
18623,5075,07:36:00,07:36:00,B_21066,2,0,0
18722,5085,15:15:00,15:15:00,B_1516,1,0,1
18723,5085,15:16:00,15:16:00,B_21066,2,0,0
51423,16258,05:58:00,05:58:00,B_80585,12,0,0
51424,16258,05:58:00,05:58:00,B_21066,13,0,0
51425,16258,05:58:00,05:58:00,B_80582,14,0,0
51426,16258,06:00:00,06:00:00,B_1516,15,0,0
51427,16258,06:00:00,06:00:00,B_80583,16,0,0
51430,16258,06:20:00,06:20:00,B_8072,19,0,0
51447,16259,06:52:00,06:52:00,B_80585,12,0,0
51448,16259,06:52:00,06:52:00,B_21066,13,0,0
51449,16259,06:52:00,06:52:00,B_80582,14,0,0
51450,16259,06:54:00,06:54:00,B_1516,15,0,0
51451,16259,06:54:00,06:54:00,B_80583,16,0,0
51454,16259,07:14:00,07:14:00,B_8072,19,0,0
51462,16260,07:12:00,07:12:00,B_8353,1,0,1
51463,16260,07:13:00,07:13:00,B_80582,2,0,0
51464,16260,07:15:00,07:15:00,B_1516,3,0,0
51465,16260,07:15:00,07:15:00,B_80583,4,0,0
51468,16260,07:35:00,07:35:00,B_8072,7,0,0
51486,16261,07:12:00,07:12:00,B_8353,1,0,1
51487,16261,07:13:00,07:13:00,B_80582,2,0,0
51488,16261,07:15:00,07:15:00,B_1516,3,0,0
51489,16261,07:15:00,07:15:00,B_80583,4,0,0
51492,16261,07:35:00,07:35:00,B_8072,7,0,0
51517,16262,08:15:00,08:15:00,B_8062,10,0,0
51520,16262,08:29:00,08:29:00,B_80585,14,0,0
51521,16262,08:30:00,08:30:00,B_21066,15,0,0
51522,16262,08:30:00,08:30:00,B_80582,16,0,0
51523,16262,08:32:00,08:32:00,B_1516,17,0,0
51524,16262,08:32:00,08:32:00,B_80583,18,0,0
51527,16262,08:52:00,08:52:00,B_8072,21,0,0
51540,16263,13:09:00,13:09:00,B_8062,10,0,0
51543,16263,13:23:00,13:23:00,B_80585,14,0,0
51544,16263,13:24:00,13:24:00,B_21066,15,0,0
51545,16263,13:24:00,13:24:00,B_80582,16,0,0
51546,16263,13:26:00,13:26:00,B_1516,17,1,0
51554,16264,16:02:00,16:02:00,B_8062,10,0,0
51557,16264,16:16:00,16:16:00,B_80585,14,0,0
51558,16264,16:17:00,16:17:00,B_21066,15,0,0
51559,16264,16:17:00,16:17:00,B_80582,16,0,0
51560,16264,16:19:00,16:19:00,B_1516,17,0,0
51561,16264,16:19:00,16:19:00,B_80583,18,0,0
51564,16264,16:39:00,16:39:00,B_8072,21,0,0
51581,16265,19:28:00,19:28:00,B_80585,12,0,0
51582,16265,19:28:00,19:28:00,B_21066,13,0,0
51583,16265,19:28:00,19:28:00,B_80582,14,0,0
51584,16265,19:30:00,19:30:00,B_1516,15,0,0
51585,16265,19:30:00,19:30:00,B_80583,16,0,0
51588,16265,19:50:00,19:50:00,B_8072,19,0,0
51602,16266,21:12:00,21:12:00,B_8062,10,0,0
51605,16266,21:26:00,21:26:00,B_80585,14,0,0
51606,16266,21:27:00,21:27:00,B_21066,15,0,0
51607,16266,21:27:00,21:27:00,B_80582,16,0,0
51608,16266,21:29:00,21:29:00,B_1516,17,0,0
51609,16266,21:29:00,21:29:00,B_80583,18,0,0
51612,16266,21:49:00,21:49:00,B_8072,21,0,0
51628,16267,07:13:00,07:13:00,B_80585,12,0,0
51629,16267,07:13:00,07:13:00,B_21066,13,0,0
51630,16267,07:13:00,07:13:00,B_80582,14,0,0
51631,16267,07:15:00,07:15:00,B_1516,15,0,0
51632,16267,07:15:00,07:15:00,B_80583,16,0,0
51635,16267,07:35:00,07:35:00,B_8072,19,0,0
51654,16268,14:25:00,14:25:00,B_80585,12,0,0
